variant,intensity,target,n_seeds,rescue_mean,rescue_sd,positive_seeds,anchor_mae,corrected_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,nominal_anchor_mae,nominal_final_mae,nominal_penalty_rel,overall_anchor_mae,overall_final_mae,overall_abs_gain,overall_pct_gain,gate_applied_rate,safety_pass_rate,rescue_ci_lo,rescue_ci_hi,ci_method
No CNN,0.2,temperature,5,0.009883384931206659,0.022099920553975177,1,2.2658672024667,2.2436564730103066,2.2436564730103066,0.02221072945639352,0.9883384931206656,0.057917301356754734,0.057917301356754734,0.0,2.245423221900867,2.2234181473468473,0.02200507455401954,0.9879158494058473,0.2,0.2,-0.01755729078382775,0.03732406064624107,"two-sided Student-t, df=n_seeds-1"
No CNN,0.25,dissolved oxygen,5,0.0,0.0,0,0.6542956244826671,0.6542956244826671,0.6542956244826671,0.0,0.0,0.03122904952615494,0.03122904952615494,0.0,0.6485264895293661,0.6485264895293661,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.25,electric conductivity,5,0.0,0.0,0,28.789379383381437,28.789379383381437,28.789379383381437,0.0,0.0,1.517518246670005,1.517518246670005,0.0,28.536862150634107,28.536862150634107,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.25,ph,5,0.00155418421075358,0.003475261544801864,1,1.0173323885476901,1.0157621312538463,1.0157621312538463,0.00157025729384376,0.15541842107535983,0.09036575305897328,0.09036575305897328,0.0,1.008749364145017,1.0071936462705606,0.00155571787445634,0.15526542258211115,0.2,0.2,-0.0027609229337689,0.005869291355276061,"two-sided Student-t, df=n_seeds-1"
No CNN,0.25,temperature,5,0.0,0.0,0,2.725576976793045,2.725576976793045,2.725576976793045,0.0,0.0,0.02350969389069698,0.02350969389069698,0.0,2.70055783528469,2.70055783528469,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.1,dissolved oxygen,5,0.0,0.0,0,0.5430705659465186,0.5430705659465186,0.5430705659465186,0.0,0.0,0.0753982036374509,0.0753982036374509,0.0,0.5387402662955086,0.5387402662955086,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.1,electric conductivity,5,0.0,0.0,0,10.910078120797689,10.910078120797689,10.910078120797689,0.0,0.0,2.2918391813828918,2.2918391813828918,0.0,10.830279612099405,10.830279612099405,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.1,ph,5,0.0,0.0,0,0.39434349599527485,0.39434349599527485,0.39434349599527485,0.0,0.0,0.09777524759217679,0.09777524759217679,0.0,0.3915974936952461,0.3915974936952461,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.1,temperature,5,0.0,0.0,0,1.1415392156246804,1.1415392156246804,1.1415392156246804,0.0,0.0,0.049087525158932235,0.049087525158932235,0.0,1.131423922194442,1.131423922194442,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.15,dissolved oxygen,5,0.0,0.0,0,0.5729190160291722,0.5729190160291722,0.5729190160291722,0.0,0.0,0.049900908209383435,0.049900908209383435,0.0,0.5680762557715815,0.5680762557715815,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
